Avg_Daily_Usage_Hours,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Mental_Health_Score,Stress_Level
0.5512820512820512,0.3125,0.48780487804878053,0.523809523809524,0.5689655172413794,2
0.5384615384615384,0.42500000000000004,0.41463414634146345,0.5396825396825398,0.48275862068965525,1
0.8589743589743589,0.0875,0.26829268292682934,0.3492063492063492,0.3275862068965517,3
0.5641025641025641,0.325,0.39024390243902446,0.2222222222222222,0.39655172413793105,2
0.8717948717948717,0.0875,0.07317073170731708,0.25396825396825395,0.2586206896551724,3
0.7692307692307692,0.11249999999999999,0.48780487804878053,0.33333333333333337,0.18965517241379315,3
0.21794871794871795,0.4625,0.6097560975609757,0.8730158730158728,0.7586206896551724,0
0.10256410256410256,0.5750000000000001,0.6341463414634148,0.6507936507936507,0.7068965517241379,0
0.4358974358974359,0.5125000000000001,0.5121951219512196,0.523809523809524,0.24137931034482762,2
0.5641025641025641,0.4375,0.48780487804878053,0.4444444444444444,0.5862068965517242,2
0.2948717948717948,0.45,0.39024390243902446,0.746031746031746,0.5344827586206897,0
0.2692307692307692,0.5375,0.34146341463414637,0.73015873015873,0.7586206896551724,1
0.30769230769230765,0.4375,0.34146341463414637,0.5396825396825398,0.6379310344827585,0
0.641025641025641,0.15,0.17073170731707318,0.4444444444444444,0.24137931034482762,2
0.28205128205128205,0.41250000000000003,0.48780487804878053,0.5555555555555554,0.5344827586206897,0
0.423076923076923,0.15,0.7804878048780489,0.6349206349206349,0.6379310344827585,1
0.6538461538461537,0.1875,0.14634146341463417,0.33333333333333337,0.18965517241379315,3
0.7692307692307692,0.2625,0.41463414634146345,0.2857142857142858,0.24137931034482762,3
0.5897435897435896,0.1,0.3658536585365854,0.5555555555555554,0.39655172413793105,2
0.28205128205128205,0.6625,0.6829268292682927,0.7619047619047619,0.6724137931034482,0
0.7692307692307692,0.125,0.39024390243902446,0.3015873015873016,0.18965517241379315,3
0.6794871794871794,0.1875,0.39024390243902446,0.4126984126984127,0.24137931034482762,3
0.8076923076923076,0.1,0.39024390243902446,0.3015873015873016,0.24137931034482762,3
0.8717948717948717,0.0875,0.29268292682926833,0.2857142857142858,0.34482758620689646,3
0.3589743589743589,0.5375,0.3170731707317074,0.6825396825396826,0.5689655172413794,1
0.7692307692307692,0.049999999999999996,0.34146341463414637,0.0793650793650793,0.03448275862068961,3
0.6538461538461537,0.13749999999999998,0.6829268292682927,0.3492063492063492,0.39655172413793105,3
0.28205128205128205,0.41250000000000003,0.41463414634146345,0.523809523809524,0.5862068965517242,0
0.47435897435897434,0.23750000000000002,0.21951219512195125,0.5714285714285714,0.5862068965517242,1
0.1923076923076923,0.7125,0.6341463414634148,0.6349206349206349,0.8448275862068966,1
0.3846153846153846,0.48750000000000004,0.41463414634146345,0.6825396825396826,0.7586206896551724,1
0.3205128205128205,0.4625,0.6341463414634148,0.5714285714285714,0.8448275862068966,1
0.4871794871794871,0.375,0.48780487804878053,0.5714285714285714,0.5172413793103448,2
0.23076923076923073,0.6625,0.6097560975609757,0.5396825396825398,0.7586206896551724,0
0.5384615384615384,0.375,0.26829268292682934,0.4920634920634921,0.39655172413793105,2
0.8846153846153846,0.0875,0.24390243902439027,0.3650793650793651,0.18965517241379315,3
0.6153846153846153,0.35000000000000003,0.39024390243902446,0.33333333333333337,0.4137931034482758,2
0.5256410256410255,0.36250000000000004,0.48780487804878053,0.5873015873015872,0.5862068965517242,2
0.4871794871794871,0.36250000000000004,0.4634146341463415,0.19047619047619047,0.4137931034482758,2
0.5256410256410255,0.375,0.34146341463414637,0.5555555555555554,0.5,1
0.641025641025641,0.24999999999999997,0.26829268292682934,0.1587301587301586,0.4137931034482758,3
0.6153846153846153,0.3125,0.26829268292682934,0.4920634920634921,0.4137931034482758,2
0.9358974358974359,0.1,0.39024390243902446,0.2063492063492064,0.2068965517241379,3
0.1923076923076923,0.65,0.7073170731707318,0.5873015873015872,0.7586206896551724,1
0.5512820512820512,0.23750000000000002,0.41463414634146345,0.4126984126984127,0.5517241379310345,2
0.6923076923076923,0.1,0.4634146341463415,0.4444444444444444,0.27586206896551724,3
0.5897435897435896,0.15,0.3658536585365854,0.33333333333333337,0.17241379310344818,2
0.16666666666666663,0.5125000000000001,0.6097560975609757,0.73015873015873,0.7758620689655171,0
0.8205128205128205,0.0875,0.4390243902439025,0.25396825396825395,0.18965517241379315,3
0.6666666666666666,0.13749999999999998,0.3170731707317074,0.11111111111111105,0.10344827586206906,3
0.23076923076923073,0.5625,0.5365853658536587,0.7777777777777777,0.8793103448275861,0
0.4871794871794871,0.4,0.5121951219512196,0.5714285714285714,0.7586206896551724,1
0.6282051282051282,0.3125,0.3658536585365854,0.3015873015873016,0.12068965517241381,3
0.5897435897435896,0.36250000000000004,0.17073170731707318,0.46031746031746024,0.5,1
0.8846153846153846,0.0875,0.3170731707317074,0.1269841269841271,0.24137931034482762,3
0.6282051282051282,0.15,0.26829268292682934,0.33333333333333337,0.39655172413793105,3
0.7051282051282051,0.0875,0.5121951219512196,0.31746031746031733,0.17241379310344818,2
0.8076923076923076,0.0875,0.07317073170731708,0.23809523809523803,0.08620689655172409,3
0.8076923076923076,0.0875,0.21951219512195125,0.2857142857142858,0.2586206896551724,3
0.8846153846153846,0.07500000000000001,0.0,0.23809523809523803,0.08620689655172409,3
0.6282051282051282,0.3875,0.19512195121951223,0.4920634920634921,0.4137931034482758,1
0.46153846153846145,0.41250000000000003,0.34146341463414637,0.4444444444444444,0.5517241379310345,2
0.28205128205128205,0.5875,0.4634146341463415,0.7142857142857142,0.8103448275862071,0
0.17948717948717946,0.5750000000000001,0.6097560975609757,0.5714285714285714,0.8620689655172413,0
0.5897435897435896,0.24999999999999997,0.41463414634146345,0.31746031746031733,0.24137931034482762,2
0.641025641025641,0.1875,0.5121951219512196,0.38095238095238093,0.36206896551724144,2
0.46153846153846145,0.5375,0.5609756097560976,0.523809523809524,0.603448275862069,1
0.14102564102564102,0.55,0.6097560975609757,0.746031746031746,0.8620689655172413,0
0.46153846153846145,0.55,0.4634146341463415,0.4126984126984127,0.4482758620689655,2
0.3589743589743589,0.4625,0.3170731707317074,0.7142857142857142,0.4482758620689655,2
0.46153846153846145,0.28750000000000003,0.34146341463414637,0.39682539682539675,0.5344827586206897,2
0.7435897435897435,0.0875,0.21951219512195125,0.2857142857142858,0.13793103448275867,3
0.5128205128205128,0.475,0.41463414634146345,0.38095238095238093,0.4482758620689655,2
0.24358974358974356,0.6125,0.6341463414634148,0.6825396825396826,0.6379310344827585,0
0.6794871794871794,0.0875,0.12195121951219513,0.19047619047619047,0.24137931034482762,3
0.5256410256410255,0.175,0.5365853658536587,0.46031746031746024,0.5689655172413794,2
0.3333333333333333,0.5,0.4634146341463415,0.523809523809524,0.603448275862069,3
0.7051282051282051,0.0625,0.5121951219512196,0.3650793650793651,0.293103448275862,3
0.14102564102564102,0.65,0.7073170731707318,0.6349206349206349,0.7068965517241379,1
0.5512820512820512,0.24999999999999997,0.29268292682926833,0.5555555555555554,0.3793103448275862,1
